Address,Borough,Postcode,Latitude,Longitude,License Number,Landlord,Agent
"Flat 36 46, Borough Road, London, SE1 0AJ",Southwark,SE1 0AJ,51.499181,-0.100373,SWK-153056824925,,
"Flat 30 46, Borough Road, London, SE1 0AJ",Southwark,SE1 0AJ,51.499181,-0.100373,SWK-406736674333,,
"70, Southwark Bridge Road, London, SE1 0AS",Southwark,SE1 0AS,51.503411,-0.096105,SWK-394552191523,,
"76, Southwark Bridge Road, London, SE1 0AS",Southwark,SE1 0AS,51.503411,-0.096105,SWK-413838236836,,
"74, Southwark Bridge Road, London, SE1 0AS",Southwark,SE1 0AS,51.503411,-0.096105,SWK-971099354460,,
"72, Southwark Bridge Road, London, SE1 0AS",Southwark,SE1 0AS,51.503411,-0.096105,SWK-704438422128,,
"Flat 48, Pakeman House Pocock Street, London, SE1 0BH",Southwark,SE1 0BH,51.502283,-0.102549,SWK-402855408648,,
"Flat 45, Pakeman House Pocock Street, London, SE1 0BH",Southwark,SE1 0BH,51.502283,-0.102549,SWK-546173469224,,
"Top Floor Flat, Alphege House 2, Pocock Street, London, SE1 0BJ",Southwark,SE1 0BJ,51.501946,-0.102866,SWK-739833778181,,
"7, South Side Apartments 58, Great Suffolk Street, London, SE1 0BL",Southwark,SE1 0BL,51.503104,-0.101579,SWK-087066539915,,
"8, Lagare Apartments 53, Surrey Row, London, SE1 0DF",Southwark,SE1 0DF,51.502787,-0.102024,SWK-797328296962,,
"Flat C 150, Southwark Bridge Road, London, SE1 0DG",Southwark,SE1 0DG,51.500117,-0.099859,SWK-667117684965,,
"First Floor And Second Floor Flat 160, Southwark Bridge Road, London, SE1 0DG",Southwark,SE1 0DG,51.500117,-0.099859,SWK-030893355220,,
"Ground Floor Flat 154, Southwark Bridge Road, London, SE1 0DG",Southwark,SE1 0DG,51.500117,-0.099859,SWK-560629208538,,
"Top Flat 156, Southwark Bridge Road, London, SE1 0DG",Southwark,SE1 0DG,51.500117,-0.099859,SWK-646746536391,,
"Basement And Ground Floor Flat 3, Belvedere Buildings, London, SE1 0DQ",Southwark,SE1 0DQ,51.500304,-0.100269,SWK-805867779870,,
"First Floor And Second Floor Flat 3, Belvedere Buildings, London, SE1 0DQ",Southwark,SE1 0DQ,51.500304,-0.100269,SWK-001498798028,,
"First Floor And Second Floor Flat 9, Belvedere Buildings, London, SE1 0DQ",Southwark,SE1 0DQ,51.500304,-0.100269,SWK-281924701881,,
"Flat 3 175, Southwark Bridge Road, London, SE1 0ED",Southwark,SE1 0ED,51.501222,-0.098113,SWK-089897153917,,
"Flat 1 25b, Copperfield Street, London, SE1 0EN",Southwark,SE1 0EN,51.502985,-0.098673,SWK-866539390856,,
"Flat 4 25b, Copperfield Street, London, SE1 0EN",Southwark,SE1 0EN,51.502985,-0.098673,SWK-934411901139,,
"Flat C 108, Great Guildford Street, London, SE1 0ES",Southwark,SE1 0ES,51.503353,-0.09641,SWK-009392648506,,
